query,intent,brand,model,year,sensor
how is NVH data gathered for Zeekr?,collection_method,Zeekr,Mix,2024,NVH
permission for XC90 Tyre Pressure data,access_governance,Volvo,XC90,2017,Tyre Pressure
avrrage reading of Bonnet sensor Polestar 2,statistical_query,Polestar,Polestar 2,2021,Bonnet sensor
compare NVH between Galaxy L7 and Emira,comparative_analysis,Geely Auto,Galaxy L7,2023,NVH
pull NVH history for Mix,imperative_commands,Zeekr,Mix,2025,NVH
compare CANBUS between 05 and 007,comparative_analysis,Lynk & Co,05,2024,CANBUS
how CAN-FD works in Geely Auto Panda Mini?,data_definition,Geely Auto,Panda Mini,2023,CAN-FD
Show me outliers for Hood sensor in Emigrant,anomaly_info,Geely Auto,Emigrant,2022,Hood sensor
is High Voltage battery more accurate in EX30 or EX30?,comparative_analysis,Volvo,EX30,2024,High Voltage battery
why LiDAR collection discontinued 01?,temporal_stats,Jiyue,01,2025,LiDAR
what about CAN-FD on the Starray?,contextual_followups,Geely Auto,Starray,2025,CAN-FD
What are the peaks of Tyre Pressure in Lotus Emeya?,statistical_query,Lotus,Emeya,2025,Tyre Pressure
how long we have Autonomous sensor data for Emeya?,temporal_stats,Lotus,Emeya,2024,Autonomous sensor
what is adas camera average in jiyue 07,statistical_query,Jiyue,07,2025,ADAS Camera
start date for canbus logs polestar 3,temporal_stats,Polestar,Polestar 3,2024,CANBUS
avg value for Bonnet sensor Evija,statistical_query,Lotus,Evija,2025,Bonnet sensor
Who has access to Trunk sensor logs for Zeekr?,access_governance,Zeekr,7X,2024,Trunk sensor
peak values LIDAR XC90 last week,statistical_query,Volvo,XC90,2019,LIDAR
Hood sensor glitching on 009?,anomaly_info,Zeekr,009,2023,Hood sensor
pull Tyre Pressure history for XC90,imperative_commands,Volvo,XC90,2025,Tyre Pressure
What types of LIDAR data are available for 3?,data_definition,Polestar,Polestar 3,2025,LIDAR
common range for NVH in Lynk & Co,statistical_query,Lynk & Co,01,2019,NVH
difference in ADAS Camera data for Lotus vs Jiyue,comparative_analysis,Lotus,Emeya,2024,ADAS Camera
average reading of Control Network 09 Ultra,statistical_query,Lynk & Co,09 Ultra,2024,Control Network
Traction battery performance Zeekr vs Polestar,comparative_analysis,Zeekr,7X,2024,Traction battery
defonition of Autonomous sensor telemetry Lynk & Co,data_definition,Lynk & Co,03 TCR,2023,Autonomous sensor
explain noise and vibration context in geometry e,data_definition,Geely Auto,Geometry E,2025,Noise and Vibration
show zeekr hood sensor owner now,imperative_commands,Zeekr,009,2023,Hood sensor
Is Bonnet sensor data live for 009?,collection_method,Zeekr,009,2024,Bonnet sensor
who working on Geely Auto Trunk sensor right now?,access_governance,Geely Auto,Panda Mini,2025,Trunk sensor
pull Bonnet sensor history for Emira,imperative_commands,Lotus,Emira,2023,Bonnet sensor
get me Traction battery stats for Polestar 2,imperative_commands,Polestar,Polestar 2,2020,Traction battery
avg value for Lidar 07,statistical_query,Jiyue,07,2024,Lidar
get me Noise and Vibration stats for V60 Recharge,imperative_commands,Volvo,V60 Recharge,2021,Noise and Vibration
why Acoustics collection discontinued 07?,temporal_stats,Jiyue,07,2025,Acoustics
permission for Evija Traction battery data,access_governance,Lotus,Evija,2024,Traction battery
why CAN-FD collection discontinued Polestar 4?,temporal_stats,Polestar,Polestar 4,2024,CAN-FD
pull Tyre Pressure history for 05,imperative_commands,Lynk & Co,05,2020,Tyre Pressure
When did we start collecting Acoustics for Emeya?,temporal_stats,Lotus,Emeya,2024,Acoustics
why autonomous sensor collection discontinued 01,temporal_stats,Jiyue,01,2024,Autonomous sensor
get me Trunk sensor stats for EX30,imperative_commands,Volvo,EX30,2024,Trunk sensor
ADAS Camera description Geely Auto Coolray,data_definition,Geely Auto,Coolray,2022,ADAS Camera
bad data points in Autonomous sensor 07,anomaly_info,Jiyue,07,2025,Autonomous sensor
request access to 001 Autonomous sensor,access_governance,Zeekr,001,2025,Autonomous sensor
start date for ADAS Camera logs 09 Ultra,temporal_stats,Lynk & Co,09 Ultra,2022,ADAS Camera
what about Noise and Vibration on the Polestar 4?,contextual_followups,Polestar,Polestar 4,2025,Noise and Vibration
is NVH more accurate in 03 TCR or 009?,comparative_analysis,Lynk & Co,03 TCR,2019,NVH
give me CAN-FD max min Eletre,statistical_query,Lotus,Eletre,2024,CAN-FD
is CAN-FD more accurate in 001 or 7X?,comparative_analysis,Zeekr,001,2021,CAN-FD
what about Trunk sensor on the 7X?,contextual_followups,Zeekr,7X,2025,Trunk sensor
responsible person for ADAS Camera Lynk & Co,access_governance,Lynk & Co,Z10,2025,ADAS Camera
compare noise and vibration between mix and eletre,comparative_analysis,Zeekr,Mix,2025,Noise and Vibration
Who has access to Vision system logs for Lotus?,access_governance,Lotus,Emeya,2025,Vision system
since when acoustics collected volvo,temporal_stats,Volvo,EX30,2024,Acoustics
what about Noise and Vibration on the 001?,contextual_followups,Zeekr,001,2024,Noise and Vibration
Show me outliers for Tyre Pressure in S90,anomaly_info,Volvo,S90,2025,Tyre Pressure
what NVH means for car 001?,data_definition,Zeekr,001,2022,NVH
get me Trunk sensor stats for 03 TCR,imperative_commands,Lynk & Co,03 TCR,2019,Trunk sensor
why LIDAR spikes in Jiyue?,anomaly_info,Jiyue,07,2024,LIDAR
when stop High Voltage battery for Jiyue?,temporal_stats,Jiyue,07,2024,High Voltage battery
bad data points in Noise and Vibration Polestar 2,anomaly_info,Polestar,Polestar 2,2024,Noise and Vibration
doex Vision system need OBD-II logger for collection?,collection_method,Lynk & Co,08 EM-P,2023,Vision system
what Bonnet sensor means for car 007?,data_definition,Zeekr,007,2023,Bonnet sensor
average reading of Tyre Pressure Starray,statistical_query,Geely Auto,Starray,2024,Tyre Pressure
when stop Control Network for Zeekr?,temporal_stats,Zeekr,007,2025,Control Network
is Vision system more accurate in Polestar 5 or Coolray?,comparative_analysis,Polestar,Polestar 5,2026,Vision system
average reading of TPMS 07,statistical_query,Jiyue,07,2024,TPMS
7X Trqction battery data type?,data_definition,Zeekr,7X,2024,Traction battery
is Boot latch sensor data stream broken for EX30?,system_status_check,Volvo,EX30,2024,Boot latch sensor
collected after release for 09 ultra,collection_method,Lynk & Co,09 Ultra,2022,ADAS Camera
permission for 007 HV battery data,access_governance,Zeekr,007,2023,HV battery
pull Traction battery history for Polestar 5,imperative_commands,Polestar,Polestar 5,2025,Traction battery
what about CAN-FD on the 7X?,contextual_followups,Zeekr,7X,2025,CAN-FD
get me Hood sensor stats for Geometry E,imperative_commands,Geely Auto,Geometry E,2025,Hood sensor
what about HV battery on the 001?,contextual_followups,Zeekr,001,2021,HV battery
start date for Tyre Pressure logs 03 TCR,temporal_stats,Lynk & Co,03 TCR,2020,Tyre Pressure
how long we have Boot latch sensor data for Polestar 3?,temporal_stats,Polestar,Polestar 3,2024,Boot latch sensor
is polestar 2 lidar streaming,collection_method,Polestar,Polestar 2,2024,Lidar
who working on Geely Auto Acoustics right now?,access_governance,Geely Auto,Galaxy L7,2025,Acoustics
contact for Polestar 5 CANBUS access,access_governance,Polestar,Polestar 5,2026,CANBUS
Traction battery performance Volvo vs Lynk & Co,comparative_analysis,Volvo,EM90,2024,Traction battery
since when Vision system collected Geely Auto?,temporal_stats,Geely Auto,Panda Mini,2025,Vision system
is ADAS Camera data stream broken for Starray?,system_status_check,Geely Auto,Starray,2024,ADAS Camera
Whrn did we start collecting Tyre Pressure for XC90?,temporal_stats,Volvo,XC90,2017,Tyre Pressure
difference in TPMS data for Jiyue vs Polestar,comparative_analysis,Jiyue,01,2023,TPMS
since when NVH collected Geely Auto?,temporal_stats,Geely Auto,Galaxy L7,2025,NVH
is Emira Vision system streaming?,collection_method,Lotus,Emira,2024,Vision system
What typrs of ADAS Camera data are available for Volvo EM90?,data_definition,Volvo,EM90,2025,ADAS Camera
09 ultra lidar data type,data_definition,Lynk & Co,09 Ultra,2021,LiDAR
compare Autonomous sensor between 007 and 001,comparative_analysis,Zeekr,007,2024,Autonomous sensor
difference in NVH data for Zeekr vs Zeekr,comparative_analysis,Zeekr,X,2024,NVH
responsible person for Autonomous sensor Volvo,access_governance,Volvo,EM90,2025,Autonomous sensor
What types of Lidar data are available for Volvo XC90?,data_definition,Volvo,XC90,2019,Lidar
is xc60 trunk sensor streaming,collection_method,Volvo,XC60,2022,Trunk sensor
pull Traction battery history for EX90,imperative_commands,Volvo,EX90,2024,Traction battery
avg value for canbus z10,statistical_query,Lynk & Co,Z10,2025,CANBUS
compare Control Network between S90 and S90,comparative_analysis,Volvo,S90,2019,Control Network
Who has access to High Voltage battery logs for Lotus?,access_governance,Lotus,Evija,2025,High Voltage battery
Hood sensor glitching on Eletre?,anomaly_info,Lotus,Eletre,2024,Hood sensor
Tyre Pressure glotching on Geometry E?,anomaly_info,Geely Auto,Geometry E,2025,Tyre Pressure
what about Tire Pressure on the 09 Ultra?,contextual_followups,Lynk & Co,09 Ultra,2021,Tire Pressure
what are the peaks of hv battery in lotus eletre,statistical_query,Lotus,Eletre,2025,HV battery
What are the peaks of CANBUS in Zeekr 001?,statistical_query,Zeekr,001,2024,CANBUS
when did we start collecting hood sensor for 08 em-p,temporal_stats,Lynk & Co,08 EM-P,2025,Hood sensor
is lidar more accurate in 007 or v60 recharge,comparative_analysis,Zeekr,007,2024,LIDAR
responsible person for Vision system Lynk & Co,access_governance,Lynk & Co,05,2025,Vision system
since when Tire Pressure collected Zeekr?,temporal_stats,Zeekr,009,2025,Tire Pressure
compare LIDAR between 07 and 07,comparative_analysis,Jiyue,07,2024,LIDAR
pull high voltage battery history for 03 tcr,imperative_commands,Lynk & Co,03 TCR,2025,High Voltage battery
abnormal Control Network readings Mix,anomaly_info,Zeekr,Mix,2025,Control Network
EX90 Vision system data type?,data_definition,Volvo,EX90,2025,Vision system
erratic Tire Pressure data in Z10,anomaly_info,Lynk & Co,Z10,2025,Tire Pressure
what is Lidar average in Geely Auto Geometry E?,statistical_query,Geely Auto,Geometry E,2025,Lidar
compare Acoustics between EX90 and XC60,comparative_analysis,Volvo,EX90,2025,Acoustics
why HV battery collection discontinued 07?,temporal_stats,Jiyue,07,2025,HV battery
abnormal Trunk sensor readings Eletre,anomaly_info,Lotus,Eletre,2024,Trunk sensor
permission for 09 Ultra LIDAR data,access_governance,Lynk & Co,09 Ultra,2023,LIDAR
why Vision system collection discontinued Z10?,temporal_stats,Lynk & Co,Z10,2025,Vision system
what about Tire Pressure on the Polestar 5?,contextual_followups,Polestar,Polestar 5,2025,Tire Pressure
how is LiDAR data gathered for Polestar?,collection_method,Polestar,Polestar 5,2025,LiDAR
explain acoustics context in polestar 4,data_definition,Polestar,Polestar 4,2025,Acoustics
why NVH collection discontinued 07?,temporal_stats,Jiyue,07,2025,NVH
request access to Eletre Vision system,access_governance,Lotus,Eletre,2024,Vision system
what HV battery means for car 01?,data_definition,Lynk & Co,01,2019,HV battery
what is Control Network average in Lotus Evija?,statistical_query,Lotus,Evija,2021,Control Network
what is Control Network average in Jiyue 07?,statistical_query,Jiyue,07,2025,Control Network
Who has access to HV battery logs for Zeekr?,access_governance,Zeekr,001,2022,HV battery
common range for Lidar in Lynk & Co,statistical_query,Lynk & Co,Z10,2025,Lidar
definition of TPMS telemetry Lynk & Co,data_definition,Lynk & Co,Z10,2024,TPMS
when stop TPMS for Geely Auto?,temporal_stats,Geely Auto,Starray,2024,TPMS
who working on Lotus ADAS Camera right now?,access_governance,Lotus,Eletre,2024,ADAS Camera
Lidar description Jiyue 07,data_definition,Jiyue,07,2024,Lidar
does TPMS need Micro-epsilon for collection?,collection_method,Lynk & Co,Z10,2025,TPMS
Who has access to LiDAR logs for Jiyue?,access_governance,Jiyue,07,2025,LiDAR
Who has access to Tyre Pressure logs for Jiyue?,access_governance,Jiyue,07,2025,Tyre Pressure
permission for EM90 LIDAR data,access_governance,Volvo,EM90,2025,LIDAR
special attachments for emigrant high voltage battery,collection_method,Geely Auto,Emigrant,2021,High Voltage battery
is HV battery still being recorded for X?,temporal_stats,Zeekr,X,2024,HV battery
is Vision system data stream broken for 009?,system_status_check,Zeekr,009,2024,Vision system
explain LiDAR context in Eletre,data_definition,Lotus,Eletre,2024,LiDAR
peak values Tire Pressure 07 last week,statistical_query,Jiyue,07,2025,Tire Pressure
when stop Boot latch sensor for Lynk & Co?,temporal_stats,Lynk & Co,05,2022,Boot latch sensor
is noise and vibration still being recorded for 7x,temporal_stats,Zeekr,7X,2024,Noise and Vibration
Vision system performance vs Lynk & Co,comparative_analysis,Jiyue,01,2025,Vision system
Is Acoustics data live for Polestar 3?,collection_method,Polestar,Polestar 3,2023,Acoustics
abnormal Bonnet sensor readings 7X,anomaly_info,Zeekr,7X,2025,Bonnet sensor
XC60 Trunk sensor data type?,data_definition,Volvo,XC60,2019,Trunk sensor
for Evija what CAN-FD info exists?,data_definition,Lotus,Evija,2024,CAN-FD
erratic Tire Pressure data in 001,anomaly_info,Zeekr,001,2023,Tire Pressure
difference in Control Network data for Geely Auto vs Jiyue,comparative_analysis,Geely Auto,Emigrant,2021,Control Network
When did we start collecting Trunk sensor for 05?,temporal_stats,Lynk & Co,05,2023,Trunk sensor
compare Bonnet sensor between 001 and 001,comparative_analysis,Zeekr,001,2025,Bonnet sensor
permission for Polestar 2 Trunk sensor data,access_governance,Polestar,Polestar 2,2022,Trunk sensor
explain Autonomous sensor context in Emigrant,data_definition,Geely Auto,Emigrant,2022,Autonomous sensor
is CAN-FD data stream broken for 07?,system_status_check,Jiyue,07,2024,CAN-FD
erratic Acoustics data in X,anomaly_info,Zeekr,X,2024,Acoustics
get me hv battery stats for polestar 2,imperative_commands,Polestar,Polestar 2,2021,HV battery
how CANBUS works on Lotus Emira?,data_definition,Lotus,Emira,2022,CANBUS
is Vision system more accurate in 2 or 3?,comparative_analysis,Polestar,Polestar 2,2020,Vision system
difference in Tire Pressure data for Zeekr vs Zeekr,comparative_analysis,Zeekr,X,2024,Tire Pressure
start date for HV battery logs Mix,temporal_stats,Zeekr,Mix,2025,HV battery
is NVH more accurate in 09 Ultra or 01?,comparative_analysis,Lynk & Co,09 Ultra,2025,NVH
how long we have hood sensor data for emeya,temporal_stats,Lotus,Emeya,2024,Hood sensor
abnormal NVH readings 07,anomaly_info,Jiyue,07,2025,NVH
who working on Volvo Acoustics right now?,access_governance,Volvo,EX90,2025,Acoustics
HV battery performance Zeekr vs Geely Auto,comparative_analysis,Zeekr,Mix,2024,HV battery
what about High Voltage battery on the 4?,contextual_followups,Polestar,Polestar 4,2025,High Voltage battery
get me Tyre Pressure stats for Emeya,imperative_commands,Lotus,Emeya,2025,Tyre Pressure
defonition of CAN-FD telemetry Lotus,data_definition,Lotus,Emeya,2025,CAN-FD
check geely auto hood sensor database health,system_status_check,Geely Auto,Galaxy L7,2025,Hood sensor
permission for panda mini autonomous sensor data,access_governance,Geely Auto,Panda Mini,2023,Autonomous sensor
compare tyre pressure between panda mini and panda mini,comparative_analysis,Geely Auto,Panda Mini,2023,Tyre Pressure
is starray tpms streaming,collection_method,Geely Auto,Starray,2022,TPMS
is LIDAR more accurate in Emira or Emira?,comparative_analysis,Lotus,Emira,2024,LIDAR
Is Tire Pressure data live for 007?,collection_method,Zeekr,007,2024,Tire Pressure
what is Noise and Vibration for Geely Auto?,data_definition,Geely Auto,Emigrant,2022,Noise and Vibration
Is LIDAR data live for 05?,collection_method,Lynk & Co,05,2022,LIDAR
is Tyre Pressure data stream broken for 05?,system_status_check,Lynk & Co,05,2023,Tyre Pressure
definition of Bonnet sensor telemetry Volvo,data_definition,Volvo,S90,2019,Bonnet sensor
Who has access to LiDAR logs for Polestar?,access_governance,Polestar,Polestar 2,2025,LiDAR
get me CANBUS stats for 09 Ultra,imperative_commands,Lynk & Co,09 Ultra,2021,CANBUS
compare lidar between 08 em-p and z10,comparative_analysis,Lynk & Co,08 EM-P,2023,LIDAR
what about LiDAR on the Eletre?,contextual_followups,Lotus,Eletre,2023,LiDAR
abnormal Lidar readings Coolray,anomaly_info,Geely Auto,Coolray,2019,Lidar
is Traction battery more accurate in Emira or Evija?,comparative_analysis,Lotus,Emira,2024,Traction battery
show Lidar owner now,imperative_commands,Lotus,Evija,2022,Lidar
pull Tyre Pressure history for Polestar 5,imperative_commands,Polestar,Polestar 5,2026,Tyre Pressure
start date for LIDAR logs XC60,temporal_stats,Volvo,XC60,2018,LIDAR
frequency of lidar errors volvo,anomaly_info,Volvo,XC90,2019,LIDAR
CANBUS performance vs Lotus,comparative_analysis,Lotus,Evija,2023,CANBUS
speciql attachments for Emeya Hood sensor?,collection_method,Lotus,Emeya,2025,Hood sensor
what about High Voltage battery on the Mix?,contextual_followups,Zeekr,Mix,2025,High Voltage battery
avg value for Vision system 07,statistical_query,Jiyue,07,2024,Vision system
When did we start collecting Boot latch sensor for 09 Ultra?,temporal_stats,Lynk & Co,09 Ultra,2021,Boot latch sensor
how Acoustics works in Volvo V60 Recharge?,data_definition,Volvo,V60 Recharge,2025,Acoustics
is Traction battery more accurate in 009 or 009?,comparative_analysis,Zeekr,009,2025,Traction battery
peak values Boot latch sensor 05 last week,statistical_query,Lynk & Co,05,2025,Boot latch sensor
difference in High Voltage battery data for Geely Auto vs Volvo,comparative_analysis,Geely Auto,Geometry E,2024,High Voltage battery
avg value for tire pressure polestar 3,statistical_query,Polestar,Polestar 3,2023,Tire Pressure
is Bonnet sensor more accurate in Emira or Eletre?,comparative_analysis,Lotus,Emira,2023,Bonnet sensor
When did we xtart collecting Autonomous sensor for XC60?,temporal_stats,Volvo,XC60,2025,Autonomous sensor
get me LiDAR stats for 001,imperative_commands,Zeekr,001,2021,LiDAR
Who has access to TPMS logs for Volvo?,access_governance,Volvo,EX90,2025,TPMS
bad data poonts in TPMS Emira,anomaly_info,Lotus,Emira,2022,TPMS
identify Lidar anomalies Polestar,anomaly_info,Polestar,Polestar 5,2025,Lidar
when did we start collecting tyre pressure for 007,temporal_stats,Zeekr,007,2024,Tyre Pressure
how long we have Hood sensor data for Panda Mini?,temporal_stats,Geely Auto,Panda Mini,2024,Hood sensor
What are the peaks of Traction battery in Polestar Polestar 3?,statistical_query,Polestar,Polestar 3,2025,Traction battery
average reading of Noise and Vibration Z10,statistical_query,Lynk & Co,Z10,2024,Noise and Vibration
what about tire pressure on the 08 em-p,contextual_followups,Lynk & Co,08 EM-P,2024,Tire Pressure
is CAN-FD more accurate in 08 EM-P or 01?,comparative_analysis,Lynk & Co,08 EM-P,2025,CAN-FD
what are the peaks of hv battery in lotus emeya,statistical_query,Lotus,Emeya,2024,HV battery
why TPMS spikes in Lotus?,anomaly_info,Lotus,Emira,2023,TPMS
abnormal CANBUS readings 007,anomaly_info,Zeekr,007,2023,CANBUS
explain Boot latch sensor context in 001,data_definition,Zeekr,001,2024,Boot latch sensor
pull noise and vibration history for polestar 2,imperative_commands,Polestar,Polestar 2,2024,Noise and Vibration
is Tyre Pressure more accurate in 07 or 01?,comparative_analysis,Jiyue,07,2025,Tyre Pressure
What are the peaks of CANBUS in Geely Auto Galaxy L7?,statistical_query,Geely Auto,Galaxy L7,2025,CANBUS
compare Vision system between 01 and 01,comparative_analysis,Jiyue,01,2023,Vision system
identify HV battery anomalies Lotus,anomaly_info,Lotus,Emira,2025,HV battery
why we use JSON for Lidar?,data_definition,Geely Auto,Galaxy L7,2024,Lidar
pull Hood sensor history for Mix,imperative_commands,Zeekr,Mix,2025,Hood sensor
since when High Voltage battery collected Volvo?,temporal_stats,Volvo,EM90,2024,High Voltage battery
Show me outliers for HV battery in XC90,anomaly_info,Volvo,XC90,2017,HV battery
who working on LIDAR right now?,access_governance,Lotus,Emeya,2024,LIDAR
avg value for NVH Polestar 5,statistical_query,Polestar,Polestar 5,2025,NVH
definition of Trunk sensor telemetry Polestar,data_definition,Polestar,Polestar 3,2023,Trunk sensor
show Bonnet sensor owner now,imperative_commands,Lynk & Co,05,2020,Bonnet sensor
Control Network glitching on 01?,anomaly_info,Jiyue,01,2025,Control Network
identify NVH anomalies Polestar,anomaly_info,Polestar,Polestar 4,2024,NVH
peak values ADAS Camera Eletre last week,statistical_query,Lotus,Eletre,2025,ADAS Camera
first time Lidar was used in Zeekr?,temporal_stats,Zeekr,X,2025,Lidar
production vehicle logs for CANBUS?,collection_method,Lynk & Co,05,2021,CANBUS
get me LIDAR stats for 001,imperative_commands,Zeekr,001,2024,LIDAR
is canbus data live for galaxy l7,collection_method,Geely Auto,Galaxy L7,2023,CANBUS
what Control Network means for car 03 TCR?,data_definition,Lynk & Co,03 TCR,2020,Control Network
average reading of tpms em90,statistical_query,Volvo,EM90,2025,TPMS
is Trunk sensor still being recorded for Starray?,temporal_stats,Geely Auto,Starray,2025,Trunk sensor
mean NVH across Zeekr fleet,statistical_query,Zeekr,X,2024,NVH
for XC60 what Acoustocs info exists?,data_definition,Volvo,XC60,2025,Acoustics
is boot latch sensor still being recorded for panda mini,temporal_stats,Geely Auto,Panda Mini,2023,Boot latch sensor
what Lidar means for car X?,data_definition,Zeekr,X,2024,Lidar
Bonnet sensor description Volvo XC90,data_definition,Volvo,XC90,2021,Bonnet sensor
start date for hv battery logs 01,temporal_stats,Jiyue,01,2025,HV battery
Show me outliers for ADAS Camera in Emira,anomaly_info,Lotus,Emira,2025,ADAS Camera
xtart date for Autonomous sensor logs EM90,temporal_stats,Volvo,EM90,2025,Autonomous sensor
how long we have Acoustics data for X?,temporal_stats,Zeekr,X,2025,Acoustics
pull Vision system history for 05,imperative_commands,Lynk & Co,05,2021,Vision system
High Voltage battery performance Polestar vs Zeekr,comparative_analysis,Polestar,Polestar 5,2025,High Voltage battery
rrquest access to 09 Ultra Trunk sensor,access_governance,Lynk & Co,09 Ultra,2022,Trunk sensor
responsible person for Bonnet sensor Jiyue,access_governance,Jiyue,01,2025,Bonnet sensor
When did we start collecting LiDAR for 05?,temporal_stats,Lynk & Co,05,2024,LiDAR
Hood sensor performance Jiyue vs Jiyue,comparative_analysis,Jiyue,01,2023,Hood sensor
what about ADAS Camera on the Eletre?,contextual_followups,Lotus,Eletre,2023,ADAS Camera
pull Hood sensor history for 009,imperative_commands,Zeekr,009,2023,Hood sensor
When did we start collecting Traction battery for 7X?,temporal_stats,Zeekr,7X,2024,Traction battery
compare Control Network between Z10 and 08 EM-P,comparative_analysis,Lynk & Co,Z10,2025,Control Network
production vehicle logs for Geely Auto Acoustics?,collection_method,Geely Auto,Coolray,2023,Acoustics
permission for EX30 Control Network data,access_governance,Volvo,EX30,2024,Control Network
what is Acoustics average in Geely Auto Starray?,statistical_query,Geely Auto,Starray,2024,Acoustics
start date for Traction battery logs 07,temporal_stats,Jiyue,07,2025,Traction battery
is lidar data live for emigrant,collection_method,Geely Auto,Emigrant,2024,Lidar
Bonnrt sensor performance Jiyue vs Lynk & Co,comparative_analysis,Jiyue,07,2024,Bonnet sensor
request access to Evija Lidar,access_governance,Lotus,Evija,2025,Lidar
get me LiDAR xtats for Polestar 2,imperative_commands,Polestar,Polestar 2,2020,LiDAR
start date for Vision system logs 08 EM-P,temporal_stats,Lynk & Co,08 EM-P,2025,Vision system
peak values Acoustics EX90 last week,statistical_query,Volvo,EX90,2026,Acoustics
definition of hv battery telemetry jiyue,data_definition,Jiyue,01,2023,HV battery
pull CANBUS history for 007,imperative_commands,Zeekr,007,2023,CANBUS
start date for TPMS logs Emigrant,temporal_stats,Geely Auto,Emigrant,2025,TPMS
when stop Control Network for Lotus?,temporal_stats,Lotus,Emeya,2025,Control Network
is lidar data live for starray,collection_method,Geely Auto,Starray,2024,Lidar
Is NVH data live for 08 EM-P?,collection_method,Lynk & Co,08 EM-P,2024,NVH
peak values LIDAR 01 last week,statistical_query,Jiyue,01,2024,LIDAR
Show me outliers for TPMS in 07,anomaly_info,Jiyue,07,2024,TPMS
what is Control Network average in Polestar Polestar 4?,statistical_query,Polestar,Polestar 4,2024,Control Network
When did we start collecting TPMS for Polestar 5?,temporal_stats,Polestar,Polestar 5,2025,TPMS
avg value for Tyre Pressure 009,statistical_query,Zeekr,009,2024,Tyre Pressure
for 007 what Acoustocs info exists?,data_definition,Zeekr,007,2023,Acoustics
is NVH still being recorded for 03 TCR?,temporal_stats,Lynk & Co,03 TCR,2025,NVH
why Acoustics collection discontinued Polestar 4?,temporal_stats,Polestar,Polestar 4,2025,Acoustics
first time Acoustics was used in Volvo?,temporal_stats,Volvo,V60 Recharge,2022,Acoustics
is NVH dqta stream broken for 08 EM-P?,system_status_check,Lynk & Co,08 EM-P,2024,NVH
how adas camera works in geely auto panda mini,data_definition,Geely Auto,Panda Mini,2025,ADAS Camera
difference in Boot latch sensor data for Zeekr vs Jiyue,comparative_analysis,Zeekr,007,2023,Boot latch sensor
is traction battery more accurate in polestar 3 or 08 em-p,comparative_analysis,Polestar,Polestar 3,2023,Traction battery
Lidar performance Jiyue vs Jiyue,comparative_analysis,Jiyue,01,2024,Lidar
special attachments for s90 hv battery,collection_method,Volvo,S90,2016,HV battery
Whrn did we start collecting ADAS Camera for 01?,temporal_stats,Lynk & Co,01,2020,ADAS Camera
what about Tire Pressure on the Galaxy L7?,contextual_followups,Geely Auto,Galaxy L7,2025,Tire Pressure
special attachments for 05 LiDAR?,collection_method,Lynk & Co,05,2020,LiDAR
when did we start collecting hv battery for z10,temporal_stats,Lynk & Co,Z10,2025,HV battery
special attachments for Polestar 3 LIDAR?,collection_method,Polestar,Polestar 3,2025,LIDAR
what HV battery means for car Emira?,data_definition,Lotus,Emira,2022,HV battery
is Hood sensor more accurate in Mix or Panda Mini?,comparative_analysis,Zeekr,Mix,2025,Hood sensor
how is acoustics data gathered for volvo,collection_method,Volvo,EM90,2025,Acoustics
is LIDAR more accurate in Evija or Emira?,comparative_analysis,Lotus,Evija,2023,LIDAR
Who has access to NVH logs for Jiyue?,access_governance,Jiyue,01,2023,NVH
contact for Geometry E Tyre Pressure access,access_governance,Geely Auto,Geometry E,2022,Tyre Pressure
bad data points in noise and vibration 001,anomaly_info,Zeekr,001,2024,Noise and Vibration
peak values NVH 7X last week,statistical_query,Zeekr,7X,2025,NVH
give me Autonomous sensor max min Galaxy L7,statistical_query,Geely Auto,Galaxy L7,2024,Autonomous sensor
ix Trunk sensor more accurate in Emeya or Z10?,comparative_analysis,Lotus,Emeya,2025,Trunk sensor
request access to Polestar 2 Autonomous sensor,access_governance,Polestar,Polestar 2,2025,Autonomous sensor
explain High Voltage battery context in Emeya,data_definition,Lotus,Emeya,2025,High Voltage battery
average reading of Control Network Coolray,statistical_query,Geely Auto,Coolray,2023,Control Network
explain High Voltage battery context in 5,data_definition,Polestar,Polestar 5,2025,High Voltage battery
os TPMS still being recorded for 07?,temporal_stats,Jiyue,07,2024,TPMS
peak values Boot latch sensor Geometry E last week,statistical_query,Geely Auto,Geometry E,2023,Boot latch sensor
erratoc Noise and Vibration data in 01,anomaly_info,Jiyue,01,2023,Noise and Vibration
start datr for LIDAR logs Galaxy L7,temporal_stats,Geely Auto,Galaxy L7,2023,LIDAR
peak valuex Tire Pressure Polestar 3 last week,statistical_query,Polestar,Polestar 3,2023,Tire Pressure
identify Vision system anomalies Lotus,anomaly_info,Lotus,Emira,2025,Vision system
peqk values Tire Pressure Coolray last week,statistical_query,Geely Auto,Coolray,2024,Tire Pressure
compare Tire Pressure between 05 and 01,comparative_analysis,Lynk & Co,05,2025,Tire Pressure
what LIDAR means for car Geometry E?,data_definition,Geely Auto,Geometry E,2022,LIDAR
is hv battery more accurate in galaxy l7 or galaxy l7,comparative_analysis,Geely Auto,Galaxy L7,2025,HV battery
pull NVH history for 07,imperative_commands,Jiyue,07,2025,NVH
is CANBUS more accurate in XC60 or XC60?,comparative_analysis,Volvo,XC60,2023,CANBUS
avg value for Traction battery Mix,statistical_query,Zeekr,Mix,2025,Traction battery
pull Hood xensor history for Emira,imperative_commands,Lotus,Emira,2022,Hood sensor
